R,algorithm,date,iteration,seed,size
100000000,RLSSDstarstar,20210114094440_236,332,16106138802360570,100
100000000,RLSSDstarstar,20210114094440_237,416,16106138802372510,100
100000000,RLSSDstarstar,20210114094440_241,582,16106138802408290,100
100000000,RLSSDstarstar,20210114094440_244,455,16106138802434740,100
100000000,RLSSDstarstar,20210114094440_244,343,16106138802440190,100
100000000,RLSSDstarstar,20210114094440_246,528,16106138802458220,100
100000000,RLSSDstarstar,20210114094440_247,356,16106138802469972,100
100000000,RLSSDstarstar,20210114094440_25,752,16106138802491118,100
100000000,RLSSDstarstar,20210114094440_25,384,16106138802499950,100
100000000,RLSSDstarstar,20210114094440_25,444,16106138802503040,100
100000000,RLSSDstarstar,20210114094440_252,307,16106138802522668,100
100000000,RLSSDstarstar,20210114094440_254,514,16106138802533460,100
100000000,RLSSDstarstar,20210114094440_254,309,16106138802539930,100
100000000,RLSSDstarstar,20210114094440_255,418,16106138802548430,100
100000000,RLSSDstarstar,20210114094440_256,286,16106138802559150,100
100000000,RLSSDstarstar,20210114094440_266,431,16106138802584200,100
100000000,RLSSDstarstar,20210114094440_266,356,16106138802659320,100
100000000,RLSSDstarstar,20210114094440_269,425,16106138802692940,100
100000000,RLSSDstarstar,20210114094440_27,402,16106138802701990,100
100000000,RLSSDstarstar,20210114094440_279,295,16106138802792252,100
4000000,RLSSDstarstar,20210114095009_798,15700,16106142096953220,2000
4000000,RLSSDstarstar,20210114095009_804,17601,16106142096953220,2000
4000000,RLSSDstarstar,20210114095009_834,11937,16106142097983330,2000
1000000,RLSSDstarstar,20210114095009_918,10014,16106142098869842,1000
4000000,RLSSDstarstar,20210114095009_971,14039,16106142099192540,2000
4000000,RLSSDstarstar,20210114095009_987,15317,16106142099300290,2000
4000000,RLSSDstarstar,20210114095010_006,12189,16106142099567380,2000
4000000,RLSSDstarstar,20210114095010_029,14132,16106142099690630,2000
4000000,RLSSDstarstar,20210114095010_105,13493,16106142100072060,2000
1000000,RLSSDstarstar,20210114095010_105,9543,16106142100264670,1000
4000000,RLSSDstarstar,20210114095010_129,20017,16106142100299580,2000
4000000,RLSSDstarstar,20210114095010_13,13981,16106142101061720,2000
1000000,RLSSDstarstar,20210114095010_144,7831,16106142101303850,1000
4000000,RLSSDstarstar,20210114095010_188,12814,16106142101653070,2000
1000000,RLSSDstarstar,20210114095010_2,6529,16106142101887160,1000
1000000,RLSSDstarstar,20210114095010_336,8624,16106142103225040,1000
4000000,RLSSDstarstar,20210114095010_365,12781,16106142103365682,2000
4000000,RLSSDstarstar,20210114095010_538,14123,16106142105174670,2000
4000000,RLSSDstarstar,20210114095010_564,13847,16106142105411850,2000
4000000,RLSSDstarstar,20210114095010_655,13628,16106142106335760,2000
