R,algorithm,date,iteration,seed,size,λ
10,ea1pλSASD,20201204144336_472,222,16070894164554440,100,10
10,ea1pλSASD,20201204144336_472,155,16070894164604040,100,10
10,ea1pλSASD,20201204144336_473,102,16070894164632110,100,10
10,ea1pλSASD,20201204144336_473,182,16070894164586480,100,10
10,ea1pλSASD,20201204144336_496,206,16070894164735930,100,10
10,ea1pλSASD,20201204144336_502,263,16070894164727560,100,10
10,ea1pλSASD,20201204144336_506,234,16070894164742620,100,10
10,ea1pλSASD,20201204144336_508,337,16070894164726428,100,10
10,ea1pλSASD,20201204144336_515,134,16070894165031518,100,10
10,ea1pλSASD,20201204144336_521,166,16070894165073960,100,10
10,ea1pλSASD,20201204144336_527,280,16070894165085490,100,10
10,ea1pλSASD,20201204144336_537,231,16070894165217660,100,10
10,ea1pλSASD,20201204144336_538,406,16070894165157420,100,10
10,ea1pλSASD,20201204144336_542,220,16070894165281220,100,10
10,ea1pλSASD,20201204144336_545,294,16070894165281230,100,10
10,ea1pλSASD,20201204144336_554,222,16070894165382500,100,10
10,ea1pλSASD,20201204144336_559,200,16070894165456040,100,10
10,ea1pλSASD,20201204144336_562,359,16070894165392448,100,10
10,ea1pλSASD,20201204144336_563,276,16070894165430460,100,10
10,ea1pλSASD,20201204144336_567,81,16070894165597930,100,10
10,ea1pλSASD,20201204144336_57,220,16070894165555310,100,10
10,ea1pλSASD,20201204144336_575,166,16070894165623930,100,10
10,ea1pλSASD,20201204144336_58,199,16070894165645530,100,10
10,ea1pλSASD,20201204144336_587,103,16070894165758620,100,10
10,ea1pλSASD,20201204144336_587,220,16070894165712480,100,10
10,ea1pλSASD,20201204144336_588,259,16070894165682780,100,10
10,ea1pλSASD,20201204144336_589,91,16070894165807518,100,10
10,ea1pλSASD,20201204144336_598,131,16070894165885570,100,10
10,ea1pλSASD,20201204144336_604,218,16070894165878770,100,10
10,ea1pλSASD,20201204144336_605,246,16070894165902000,100,10
10,ea1pλSASD,20201204144336_608,119,16070894165993770,100,10
10,ea1pλSASD,20201204144336_613,312,16070894165880230,100,10
10,ea1pλSASD,20201204144336_622,199,16070894166053330,100,10
10,ea1pλSASD,20201204144336_625,217,16070894166084810,100,10
